"ID_fish","num_fish","cage","trial","boldness","bassin_bold","date_bold","exp_bold","video_bold","exploration","activity","bassin_exp","date_act","video_act","exp_act","mass_1","mass_2","mass_3","mass_4","TL_1","TL_2","TL_3","TL_4","SL_1","SL_2","SL_3","SL_4","BS_pre","BS_post_corps","BS_muscle","BS_post_tot","P04_alive","P04_dead","P013_alive","P013_dead","P06","gonade","treatment","P04_tot","adj_mass3","adj_mass4","bs_mod","dens_tot","dens_bs2","dens_ces","fulton1","fulton2","fulton3","fulton4","log_boldness","log_activity","id","z_log_activity","z_log_boldness","z_exploration","tank1","tank2","(id = ID_fish)"
"B/RR",18,"3",2,72,2,"06/07/2022","JAP",633,0.247366,618.5,1,"03/07/2022",5,"JAP",2.8,2.8,2.9,2.8,57.8,57.3,58.4,58.2,46.4,47.4,46.6,48.3,2,0,0,0,0,0,0,0,0,1,"C",0,2.9,2.8,0,0,0,0,0.0280287732174341,0.026291962629656,0.0286576284591042,0.0248494418908537,-0.26015157396847,-0.67954538861811,"B/RR",-0.679545388618109,-0.260151573968469,-0.533804163129234,"2","1","B/RR"
"BG/R",17,"3",2,248,4,"04/07/2022","MG",4556,0.2652778,462.67,4,"01/07/2022",4537,"MG",2.3,3.3,2.3,2.2,53,54.4,54.3,55,43.2,44.4,43.7,44.9,0,0,0,0,0,0,0,0,0,1,"C",0,2.3,2.2,0,0,0,0,0.0285283461616623,0.0377020555983302,0.0275602736294207,0.0243043302505979,0.984637885180878,-1.46577086998089,"BG/R",-1.46577086998089,0.984637885180879,-0.279235058868358,"4","4","BG/R"
"G/RR",14,"3",2,258,1,"06/07/2022","JAP",4674,0.1192118,661.2,4,"03/07/2022",4550,"MG",2.3,2.3,2.7,2.8,55.9,55.7,56.6,59.4,45,44.5,44.2,46.4,2,0,0,0,0,0,0,0,0,0,"C",0,2.7,2.8,0,0,0,0,0.0252400548696845,0.0261004384589961,0.0312677734130539,0.0280287732174341,1.02442528683371,-0.498729634954923,"G/RR",-0.498729634954922,1.02442528683372,-2.35517889382459,"1","4","G/RR"
"GB/B",15,"3",2,281,1,"05/07/2022","JAP",4657,0.2853107,1032.84,4,"02/07/2022",4539,"MG",2.4,1.8,2.1,1.9,52.8,53.7,54.7,54.2,42.5,44.1,43.2,45,5,0,0,0,0,0,0,0,0,0,"C",0,2.1,1.9,0,0,0,0,0.031263993486668,0.0209873080304052,0.0260476204084743,0.0208504801097394,1.11037460209111,0.709281889942158,"GB/B",0.709281889942158,1.11037460209111,0.00547990047395829,"1","4","GB/B"
"GR/G",13,"3",2,35,3,"04/07/2022","MG",1007,0.37572,1097.23,3,"01/07/2022",988,"MG",2.2,2.6,2,1.9,51.1,53.3,52.1,54.4,43.1,43.7,41.8,41.9,0,0,0,0,0,0,0,0,0,1,"C",0,2,1.9,0,0,0,0,0.0274783638797606,0.0311550919289104,0.0273842688767159,0.0258292343131481,-0.986151127151221,0.873081247258435,"GR/G",0.873081247258435,-0.98615112715122,1.29041019881655,"3","3","GR/G"
"BG/G",20,"4",1,117,1,"01/07/2022","JAP",11,0.2277359,955.86,4,"22/06/2022",4497,"MG",2.1,2.5,2,1.9,52.4,53.6,52.6,53.4,43.1,43.4,42.6,41.1,23,0,0,0,0,0,0,0,0,0,"C",0,2,1.9,0,0,0,0,0.0262293473397715,0.0305823475949504,0.0258702841188431,0.0273670594315018,0.22850728275401,0.499493721865624,"BG/G",0.499493721865624,0.22850728275401,-0.812794380391118,"1","4","BG/G"
"GB/G",22,"4",1,183,3,"28/06/2022","MG",966,0.1231481,415.31,4,"22/06/2022",4499,"MG",1.7,2.1,1.8,1.6,46.5,45.8,50,50.7,43.3,40.1,41.9,43.3,6,0,0,0,0,0,0,0,0,1,"C",0,1.8,1.6,0,0,0,0,0.0209404124918824,0.0325676316109559,0.0244698009282456,0.0197086235217716,0.678722644818326,-1.75825623276721,"GB/G",-1.75825623276721,0.678722644818326,-2.2992347472228,"3","4","GB/G"
"GG/G",24,"4",1,225,1,"29/06/2022","JAP",4632,0.3528904,1370.08,3,"23/06/2022",953,"MG",2.1,2.5,2.6,2.6,54.2,54.4,55.5,57.7,43,44.1,44.6,45.9,0,0,0,0,0,0,0,0,0,0,"C",0,2.6,2.6,0,0,0,0,0.0264127686870338,0.0291490389311183,0.0293068250545761,0.0268865631804918,0.886677861180265,1.47458087942984,"GG/G",1.47458087942984,0.886677861180266,0.965947508152624,"1","3","GG/G"
"GG/R",21,"4",1,310,3,"30/06/2022","MG",977,0.2228353,871.19,2,"24/06/2022",1,"JAP",2.1,2.1,2.2,2.2,50,49.9,51.9,54.3,41.9,43.1,42.4,43.4,5,0,0,0,0,0,0,0,0,0,"C",0,2.2,2.2,0,0,0,0,0.0285481010829532,0.0262293473397715,0.0288619128542354,0.0269124658835563,1.20922968190537,0.248278689455264,"GG/R",0.248278689455264,1.20922968190537,-0.882443514053891,"3","2","GG/R"
"GR/R",19,"4",1,427,3,"30/06/2022","MG",979,0.2008197,1008.28,4,"24/06/2022",4509,"MG",1.5,1.9,1.8,1.7,47.2,48.6,50,50.6,38.5,42,39.1,39.9,1,0,0,0,0,0,0,0,0,0,"C",0,1.8,1.7,0,0,0,0,0.0262850659207549,0.0256451787064032,0.0301121824337874,0.0267627190097592,1.53151963448899,0.644098627772017,"GR/R",0.644098627772017,1.53151963448899,-1.19533733666054,"3","4","GR/R"
"R/RR",23,"4",1,322,3,"29/06/2022","MG",973,0.3218292,1042.74,2,"23/06/2022",571,"JAP",1.6,1.7,1.7,1.6,47.8,47.5,48.6,48.6,40.8,38.2,39.1,39.4,2,0,0,0,0,0,0,0,0,0,"C",0,1.7,1.6,0,0,0,0,0.0235580583636761,0.0304971202825081,0.0284392834096881,0.026159613141177,1.24745542273891,0.735119617651181,"R/RR",0.735119617651181,1.24745542273891,0.524494283950259,"3","2","R/RR"
"BG/G",20,"4",2,139,1,"06/07/2022","JAP",4673,0.3111111,756.46,3,"02/07/2022",990,"MG",2.1,2.5,2,1.9,52.4,53.6,52.6,53.4,43.1,43.4,42.6,41.1,23,0,0,0,0,0,0,0,0,0,"C",0,2,1.9,0,0,0,0,0.0262293473397715,0.0305823475949504,0.0258702841188431,0.0273670594315018,0.401925541867091,-0.134186669331763,"BG/G",-0.134186669331763,0.401925541867092,0.372164695836362,"1","3","BG/G"
"GB/G",22,"4",2,713,2,"04/07/2022","JAP",611,0.1675774,501.71,3,"01/07/2022",987,"MG",1.7,2.1,1.8,1.6,46.5,45.8,50,50.7,43.3,40.1,41.9,43.3,6,0,0,0,0,0,0,0,0,1,"C",0,1.8,1.6,0,0,0,0,0.0209404124918824,0.0325676316109559,0.0244698009282456,0.0197086235217716,2.04754454839599,-1.24636192563042,"GB/G",-1.24636192563042,2.04754454839599,-1.66778915806159,"2","3","GB/G"
"GG/G",24,"4",2,57,3,"05/07/2022","MG",1013,0.2968614,638.67,3,"02/07/2022",991,"MG",2.1,2.5,2.6,2.6,54.2,54.4,55.5,57.7,43,44.1,44.6,45.9,0,0,0,0,0,0,0,0,0,0,"C",0,2.6,2.6,0,0,0,0,0.0264127686870338,0.0291490389311183,0.0293068250545761,0.0268865631804918,-0.495282631349996,-0.592628441532221,"GG/G",-0.59262844153222,-0.495282631349995,0.169642706701479,"3","3","GG/G"
"GG/R",21,"4",2,479,3,"05/07/2022","MG",1012,0.2527778,594.2,3,"03/07/2022",1003,"MG",2.1,2.1,2.2,2.2,50,49.9,51.9,54.3,41.9,43.1,42.4,43.4,5,0,0,0,0,0,0,0,0,0,"C",0,2.2,2.2,0,0,0,0,0.0285481010829532,0.0262293473397715,0.0288619128542354,0.0269124658835563,1.64718204983972,-0.788104514612348,"GG/R",-0.788104514612348,1.64718204983972,-0.456889666627542,"3","3","GG/R"
"GR/R",19,"4",2,122,4,"06/07/2022","MG",4568,0.2581967,767.84,4,"03/07/2022",4551,"MG",1.5,1.9,1.8,1.7,47.2,48.6,50,50.6,38.5,42,39.1,39.9,1,0,0,0,0,0,0,0,0,0,"C",0,1.8,1.7,0,0,0,0,0.0262850659207549,0.0256451787064032,0.0301121824337874,0.0267627190097592,0.270625988639923,-0.0937444306822963,"GR/R",-0.0937444306822959,0.270625988639923,-0.379874262308642,"4","4","GR/R"
