"ID_fish","before_exp","trial","cage","treatment","exploration","dens_tot","dens_ces","dens_bs2","name","after_exp"
"OO/O",NA,4,"8","E",0.3531616,1.71770710639969,0.736160188457008,0.981546917942678,"z_exploration",0.969801902522568
"R/BB",-2.35556262777735,1,"C2","C",0.1191848,0,0,0,"z_exploration",NA
"R/BB",1.56068397040334,2,"C2","C",0.3947368,0,0,0,"z_exploration",NA
"R/BB",NA,3,"C2","E",0.2541412,2.39120038259206,0,2.39120038259206,"z_exploration",-0.437512523250032
"R/BB",NA,4,"C2","E",0.4023419,2.39120038259206,0,2.39120038259206,"z_exploration",1.66877045500089
"R/BG",-2.83825915085129,1,"6","C",0.08522167,0,0,0,"z_exploration",NA
"R/BG",-0.358021324317401,2,"6","C",0.2597343,0,0,0,"z_exploration",NA
"R/BG",NA,3,"6","E",0.2325976,3.97526501766784,3.53356890459364,0.441696113074205,"z_exploration",-0.743698107867692
"R/BG",NA,4,"6","E",0.2928666,3.97526501766784,3.53356890459364,0.441696113074205,"z_exploration",0.112867136535368
"R/BR",-0.332188923112353,1,"6","C",0.2615519,0,0,0,"z_exploration",NA
"R/BR",0.988887692343352,2,"6","C",0.3545045,0,0,0,"z_exploration",NA
"R/BR",NA,3,"6","E",0.2853345,15.8562367864693,13.7420718816068,2.11416490486258,"z_exploration",0.00581815484713204
"R/BR",NA,4,"6","E",0.2968542,15.8562367864693,13.7420718816068,2.11416490486258,"z_exploration",0.16954037764741
"R/GB",-1.19691206710372,1,"7","C",0.2007089,0,0,0,"z_exploration",NA
"R/GB",-0.404251316966927,2,"7","C",0.2564815,0,0,0,"z_exploration",NA
"R/GB",NA,3,"7","E",0.3101237,7.7910174152154,0.916590284142988,6.87442713107241,"z_exploration",0.358131403060249
"R/GB",NA,4,"7","E",0.2850539,7.7910174152154,0.916590284142988,6.87442713107241,"z_exploration",0.00183016421215439
"R/GG",-0.891157117255263,1,"8","C",0.2222222,0,0,0,"z_exploration",NA
"R/GG",0.922191888879968,2,"8","C",0.3498117,0,0,0,"z_exploration",NA
"R/GG",NA,3,"8","E",0.3784153,4.86313741836876,2.77893566763929,2.08420175072947,"z_exploration",1.32871679596002
"R/GG",NA,4,"8","E",0.4100753,4.86313741836876,2.77893566763929,2.08420175072947,"z_exploration",1.77868038649248
"R/GR",1.31938779719737,1,"8","C",0.3777589,0,0,0,"z_exploration",NA
"R/GR",0.466360011344006,2,"8","C",0.3177388,0,0,0,"z_exploration",NA
"R/GR",NA,3,"8","E",0.3175151,3.34846342733834,2.60436044348538,0.744102983852965,"z_exploration",0.463180704483547
"R/GR",NA,4,"8","E",0.3964218,3.34846342733834,2.60436044348538,0.744102983852965,"z_exploration",1.58463181152927
"R/RB",0.622926306543744,1,"6","C",0.328755,0,0,0,"z_exploration",NA
"R/RB",1.16814261280923,2,"6","C",0.3671171,0,0,0,"z_exploration",NA
"R/RB",NA,3,"6","E",0.2516129,21.6998191681736,17.4804098854732,4.21940928270042,"z_exploration",-0.473445654833836
"R/RB",NA,4,"6","E",0.2972973,21.6998191681736,17.4804098854732,4.21940928270042,"z_exploration",0.175837878183257
"R/RG",-0.619982281497921,1,"6","C",0.2413024,0,0,0,"z_exploration",NA
"R/RG",-2.06291716674467,2,"6","C",0.1397757,0,0,0,"z_exploration",NA
"R/RG",NA,3,"6","E",0.1203624,5.40832882639265,4.86749594375338,0.540832882639264,"z_exploration",-2.33882614248958
"R/RG",NA,4,"6","E",0.3019126,5.40832882639265,4.86749594375338,0.540832882639264,"z_exploration",0.241432223078534
"R/RR",0.524494283950259,1,"4","C",0.3218292,0,0,0,"z_exploration",NA
"R/RR",-0.341060283605416,2,"4","C",0.2609277,0,0,0,"z_exploration",NA
"R/RR",NA,3,"4","E",0.2862206,32.8992460589445,24.6744345442084,8.22481151473612,"z_exploration",0.0184117346819651
"R/RR",NA,4,"4","E",0.3677448,32.8992460589445,24.6744345442084,8.22481151473612,"z_exploration",1.17706371659247
"RB/B",0.393577050400361,1,"2","C",0.3126177,0,0,0,"z_exploration",NA
"RB/B",0.157296422080647,2,"2","C",0.2959927,0,0,0,"z_exploration",NA
"RB/B",NA,3,"2","E",0.1958106,6.84324933580227,2.41526447145962,4.42798486434265,"z_exploration",-1.26652851231866
"RB/B",NA,4,"2","E",0.2986111,6.84324933580227,2.41526447145962,4.42798486434265,"z_exploration",0.194510088077179
"RB/G",1.13762439366993,1,"2","C",0.3649698,0,0,0,"z_exploration",NA
"RB/G",0.950475923672092,2,"2","C",0.3518018,0,0,0,"z_exploration",NA
"RB/G",NA,3,"2","E",0.3130631,6.33927816752599,3.38094835601386,2.95832981151213,"z_exploration",0.399907239384036
