"ID_fish","bold_E","se_b_E","exp_E","se_exp_E","act_E","se_act_E","bold_I","se_b_I","exp_I","se_exp_I","act_I","se_act_I","trial","cage","treatment","z_log_boldness","z_log_activity","z_exploration","dens_tot","BS_post_tot","ces_tot","change_bc","change_bs","name","body_condition","z_bc","z_change_bc","z_change_bs"
"G/BR",-0.542591458386835,0.350011197098429,0.467758778135467,0.290167400366591,0.146276721676072,0.476405920009032,0.454544538643051,0.284729343577924,-0.447982172376748,0.33604682653324,-0.315884719650162,0.383466281919937,4,5,"E",0.768130390523212,0.452389563765598,0.423940354721699,18,18,0,-0.0025415251456765,6.87211693436336,"fulton4",0.0264993782649833,0.241986654582169,-0.781211195082121,0.688171718544894
"G/GB",-0.694905526306183,0.367286441332156,0.587685202235466,0.318016588094632,0.161821612808447,0.485221721684243,0.315012595302985,0.282531936379709,-0.278937768853952,0.342111408559985,-0.173936941026307,0.389323037476034,4,7,"E",-1.07634488632527,-1.2210001514344,1.20047148771082,8.9321431331633,7,5,0.000112709632007098,1.75261943404768,"fulton4",0.0280230501553472,0.867988200828019,-0.218211512265756,-0.532894429707657
"G/GG",-0.398442842703104,0.348441899864161,0.291851750349608,0.30464371995504,-0.379553467751958,0.460502775708514,0.215643300662617,0.279855929963016,-0.0415141890957905,0.339333176666931,0.372438371305571,0.375628977272734,4,6,"E",-0.141604103311415,-0.141644292609804,0.000299492111700635,20.6239038648912,19,5,0.0000728521199173972,3.09391160966347,"fulton4",0.024632,-0.525226869995126,-0.226665838481741,-0.212978955491785
"G/OG",-0.575884654875954,0.351798671097366,0.481439960125959,0.295489043021247,-0.222986940067965,0.460101401509602,0.0165707578206369,0.290320795324795,-0.197399173239339,0.335772863658868,0.169608338121508,0.370629639101193,4,9,"E",-1.14130227512213,-0.27694912411684,0.648517097482239,12.8058017727639,12,2,-0.0036470365831667,3.8348106365834,"fulton4",0.025666326851531,-0.100273038086232,-1.01570536789981,-0.0362649867889204
"G/OO",-0.557485033468414,0.347108454857116,0.541391504456589,0.308230138356572,-0.409066714199529,0.453235539528442,0.0977906367611191,0.279285086371187,0.126019160369146,0.341799987105709,0.227052294499282,0.365562677909716,4,10,"E",-0.0468055947542596,-0.132611723054857,1.96710796966618,42.7824151363383,40,6,-0.0054673047265192,3.5494342422556,"fulton4",0.0299536210599681,1.66116446080437,-1.40180926344237,-0.10433093556662
"G/RB",-0.568215777466984,0.383209963324816,0.407311255970633,0.322951754039383,-0.105402200337358,0.499384698352021,-0.131931530774428,0.32629422657158,-0.00336532880319433,0.357732278275171,0.831377264509039,0.41030654909918,4,5,"E",0.119591370726934,1.3919653941083,1.00974292205742,10.5082248382319,7,9,-0.0034435361463334,1.19015778016324,"fulton4",0.0285312663709457,1.0767891499063,-0.972540127826308,-0.667048784740759
"G/RR",-0.658673242245299,0.407615339638547,0.657521910501289,0.396311046278898,0.761623530049698,0.58562451275114,0.615899470774621,0.330800723964894,-1.0000052629076,0.41975160414274,-0.337257016831496,0.435060090728218,4,3,"E",0.157221555214031,1.10667122149505,0.0311858115982819,13.6894910289271,6,21,-0.0012376257041512,1.32743221944502,"fulton4",0.0273380641631473,0.586561278807771,-0.504636199465554,-0.634307061394476
"GB/B",-0.703312731372503,0.363900050387951,0.394619874048368,0.299379230249611,-0.144102276446739,0.468494913075799,0.161261559878147,0.281735055956916,0.094363457437271,0.341146796072117,0.59505595682375,0.381397832481714,4,3,"E",-1.21074292387571,0.588079369939166,0.470538447718502,17.0576414595452,16,2,0.000235593352764598,6.37779834302838,"fulton4",0.0207517146776406,-2.11944451424918,-0.192146185870573,0.570270362348545
"GB/G",-0.29750878872316,0.402750127625672,0.527473868720661,0.342982916790949,0.266981358811898,0.518150163229864,0.803261216922365,0.344902163433131,-1.09850867665492,0.395871608122151,-0.908105860659848,0.440054940835782,4,4,"E",0.964138394566739,-0.989006659849594,-1.28628938964893,16.8216560509554,13,6,0.0132285447802175,4.75084301236418,"fulton4",0.0193390868307384,-2.69982354599697,2.56383741965222,0.182220543226534
"GG/G",-0.149014967435694,0.426742097208864,0.158953740547619,0.371680562782082,-0.312537357226839,0.494163520497651,0.324946734167756,0.298994968817157,-0.241820177998022,0.367048867912685,0.219674153436513,0.390588633837273,4,4,"E",1.96674704914924,-0.519701785202567,-0.775012219649757,14.1524074810983,5,23,0.0031621415185891,1.98965380023876,"fulton4",0.0259868974125292,0.0314335767925425,0.428614909929679,-0.476358677808065
"GG/R",-0.786960902177169,0.421889735402901,0.402926936526154,0.326285852017098,0.720076471077835,0.564463021638543,0.581214227527632,0.338286308046551,-0.609847421830409,0.359070038916237,-0.0777801291822334,0.411486713167778,4,4,"E",-0.0468055947542596,1.29661486586447,-0.621184647883235,15.514657980456,9,14,-0.0000592386528477998,1.80704203505507,"fulton4",0.0262885859926193,0.155382518041312,-0.254684107172605,-0.519913937816435
"GO/B",-0.605287673781905,0.35520557618336,0.465373531687899,0.300212158540888,-0.459779021675141,0.462416864842919,0.182181249534087,0.286015276892055,0.0883941132863465,0.344070976969316,0.0532629741913131,0.377146076695428,4,9,"E",-1.65544325736797,-0.804426342525153,1.57975128414491,38,38,0,0.0032962904943363,9.01600753295669,"fulton4",0.0230957889037065,-1.15638015681601,0.457069751766137,1.19951726277805
"GO/O",-0.187336861110194,0.405808311924397,0.52217853031423,0.316586201995607,-0.582581337885894,0.481660922185968,-0.0381726174912154,0.320176691684257,-0.176683616066412,0.346373696627507,0.0249692837487416,0.384828233290402,4,10,"E",0.184548759523792,-0.637915120259405,1.27359696673822,43.4514393863931,31,25,0.0007273814510711,12.9397848391274,"fulton4",0.0235701540195342,-0.961486953186512,-0.087831169848871,2.13538873093507
"GR/G",-0.389441272932166,0.370135092749628,0.19306330860999,0.353213487968766,-0.709579699067865,0.509192864138625,-0.0975028575405205,0.30323574825704,0.160189598440293,0.360957856292828,0.739540288123324,0.411428920962242,4,3,"E",-1.17542385451686,-0.571002065690091,-0.381133478168439,10.27122263748,6,8,0.005692904629686,3.20341697810998,"fulton4",0.0254621872992244,-0.184143900443184,0.965424554958286,-0.186860513505299
"GR/R",-0.625144423869257,0.350528567941971,0.425063030358304,0.282217853020655,0.0609760630844857,0.458455697185599,0.346593273729868,0.282527225771263,-0.394131447248252,0.331180676279657,0.0833791274384691,0.367656508574253,4,4,"E",-1.07634488632527,0.377879688880585,0.106571057236383,14.0634441087613,5,15,-0.000409115388391799,2.35448136958711,"fulton4",0.026054294094795,0.059123545726835,-0.328897772366159,-0.389342599598619
"O/GO",-0.680277025277476,0.37294157847745,0.561337843738062,0.317673024330122,0.194469555343229,0.519830937892432,0.374195040344522,0.29844464195506,-0.060302727927595,0.349460184595988,-0.171901717822934,0.406929736603314,4,9,"E",-0.647495119726397,-0.147035158585105,1.24277602414729,23,23,0,-0.0048912361824891,-5.38288288288284,"fulton4",0.0269338766049921,0.420500568507432,-1.27961720632055,-2.23480371464123
"O/OB",-0.684783074903833,0.368299477847491,0.618369178449668,0.342217998371921,-0.384245563201131,0.465715895831414,0.0101241746744701,0.28784939100306,0.085229776894879,0.347419556610671,0.318949353694105,0.370325331153594,4,9,"E",-1.21074292387571,0.224139325959816,2.16677753641888,25.2446689113356,23,4,0.0000703295397347023,2.24017957351293,"fulton4",0.0242251029189631,-0.692400789460943,-0.227200912415169,-0.416605051404101
