"ID_fish","before_act","trial","cage","treatment","log_activity","dens_tot","dens_ces","dens_bs2","name","after_act"
"BB/O",0.267701935697484,2,"9","C",0.267701935697483,0,0,0,"z_log_activity",NA
"BB/O",NA,3,"9","E",0.508602422237346,29.8783137766189,26.0756192959583,3.80269448066058,"z_log_activity",0.508602422237346
"BB/O",NA,4,"9","E",0.631605725319758,29.8783137766189,26.0756192959583,3.80269448066058,"z_log_activity",0.631605725319759
"BB/R",1.2261224943878,1,"1","C",1.2261224943878,0,0,0,"z_log_activity",NA
"BB/R",-1.27610842055461,2,"1","C",-1.27610842055461,0,0,0,"z_log_activity",NA
"BB/R",NA,3,"1","E",0.394631843731663,5.67437800087298,1.3094718463553,4.36490615451768,"z_log_activity",0.394631843731663
"BB/R",NA,4,"1","E",-0.839968760119406,5.67437800087298,1.3094718463553,4.36490615451768,"z_log_activity",-0.839968760119406
"BG/B",1.01229186513198,1,"1","C",1.01229186513198,0,0,0,"z_log_activity",NA
"BG/B",-0.048584303185393,2,"1","C",-0.0485843031853934,0,0,0,"z_log_activity",NA
"BG/B",NA,3,"1","E",0.100664067303594,3.74531835205992,2.62172284644195,1.12359550561798,"z_log_activity",0.100664067303594
"BG/B",NA,4,"1","E",-1.46670767467313,3.74531835205992,2.62172284644195,1.12359550561798,"z_log_activity",-1.46670767467313
"BG/G",0.499493721865624,1,"4","C",0.499493721865624,0,0,0,"z_log_activity",NA
"BG/G",-0.134186669331763,2,"4","C",-0.134186669331763,0,0,0,"z_log_activity",NA
"BG/G",NA,3,"4","E",0.0457431265252113,21.3219616204691,2.13219616204691,19.1897654584222,"z_log_activity",0.0457431265252116
"BG/G",NA,4,"4","E",-2.05953143473773,21.3219616204691,2.13219616204691,19.1897654584222,"z_log_activity",-2.05953143473773
"BG/R",-0.59144127500523,1,"3","C",-0.59144127500523,0,0,0,"z_log_activity",NA
"BG/R",-1.46577086998089,2,"3","C",-1.46577086998089,0,0,0,"z_log_activity",NA
"BG/R",NA,3,"3","E",-0.191137756402435,15.7068062827225,11.8990956687292,3.80771061399334,"z_log_activity",-0.191137756402435
"BG/R",NA,4,"3","E",-1.0535392720306,15.7068062827225,11.8990956687292,3.80771061399334,"z_log_activity",-1.0535392720306
"BO/G",1.41218922356253,1,"10","C",1.41218922356253,0,0,0,"z_log_activity",NA
"BO/G",1.30298299511363,2,"10","C",1.30298299511363,0,0,0,"z_log_activity",NA
