"ID_fish","trial","cage","treatment","log_boldness","exploration","log_activity","z_log_boldness","z_log_activity","z_exploration","dens_tot","dens_bs","dens_ces","BS_pre","BS_post_tot","name","body_condition","z_bc","z_dens","z_bs","z_ces","z_bs_pre","z_bs_post"
"G/OG",4,"9","E",-1.27526262576324,0.3305556,-0.281528168537133,-1.27526262576324,-0.281528168537133,0.733544901876242,12.8058017727639,4.8348106365834,0.8058017727639,2,12,"fulton4",0.025666326851531,-0.416979203034069,-0.475670178140096,-0.288185845191592,-0.746225647130565,-0.454638298453267,-0.177488433552179
"G/OO",3,"10","E",-0.97305348624432,0.3378871,-0.293047222840946,-0.973053486244321,-0.293047222840946,0.839373045819647,42.7824151363383,18.5494342422556,2.78241513633834,24,40,"fulton3",0.0273634115473064,0.272867661005299,1.78390971897303,1.99223690666248,-0.387384840117605,2.75457322004038,2.08145526620282
"G/OO",4,"10","E",-0.132911286094547,0.4233333,-0.140189247647695,-0.132911286094547,-0.140189247647695,2.07276495102553,42.7824151363383,18.5494342422556,2.78241513633834,24,40,"fulton4",0.0299536210599681,1.32576025614959,1.78390971897303,1.99223690666248,-0.387384840117605,2.75457322004038,2.08145526620282
"G/RB",3,"5","E",-0.921799567621697,0.2680549,1.68258010246008,-0.921799567621697,1.68258010246008,-0.168635153523547,10.5082248382319,2.72861931862478,3.50822483823185,2,7,"fulton3",0.0304086058802248,1.51070674245103,-0.648857141936605,-0.638396448072731,-0.255618990526103,-0.454638298453267,-0.580871237079858
"G/RB",4,"5","E",0.0407610510114535,0.3559719,1.35271614601417,0.0407610510114532,1.35271614601417,1.10042205592504,10.5082248382319,2.72861931862478,3.50822483823185,2,7,"fulton4",0.0285312663709457,0.747588215463382,-0.648857141936605,-0.638396448072731,-0.255618990526103,-0.454638298453267,-0.580871237079858
"G/RR",3,"3","E",0.463360694493106,0.2441294,1.378060622849,0.463360694493106,1.378060622849,-0.513993028162834,13.6894910289271,2.19699743683632,7.68949102892713,2,6,"fulton3",0.0304687080924981,1.53513765197592,-0.409059368763358,-0.726792795611753,0.50346164803227,-0.454638298453267,-0.661547797785393
"G/RR",4,"3","E",0.0800365393997485,0.2871194,1.07334870419716,0.0800365393997482,1.07334870419716,0.106555550999271,13.6894910289271,2.19699743683632,7.68949102892713,2,6,"fulton4",0.0273380641631473,0.262564219157474,-0.409059368763358,-0.726792795611753,0.50346164803227,-0.454638298453267,-0.661547797785393
"GB/B",3,"3","E",0.449892600408668,0.3287317,1.31272032188645,0.449892600408668,1.31272032188645,0.707217417495369,17.0576414595452,8.46113167636171,1.05764145954521,5,16,"fulton3",0.0259359877495809,-0.307364918410067,-0.155174618302338,0.314786955404801,-0.700505852805653,-0.0170185459314057,0.145217809269964
"GB/B",4,"3","E",-1.34773942679333,0.3180328,0.565530133669569,-1.34773942679333,0.565530133669569,0.552781800058815,17.0576414595452,8.46113167636171,1.05764145954521,5,16,"fulton4",0.0207517146776406,-2.41471673762362,-0.155174618302338,0.314786955404801,-0.700505852805653,-0.0170185459314057,0.145217809269964
"GB/G",3,"4","E",1.38080520691878,0.2433132,-0.329224330723173,1.38080520691878,-0.329224330723173,-0.525774645988191,16.8216560509554,8.28025477707006,3.82165605095541,6,13,"fulton3",0.0240619709127748,-1.06913281440597,-0.172962747961757,0.284711336248989,-0.198717670627414,0.128854704909215,-0.0968118728466429
