"ID_fish","num_fish","cage","trial","boldness","bassin_bold","date_bold","exp_bold","video_bold","exploration","activity","bassin_exp","date_act","video_act","exp_act","mass_1","mass_2","mass_3","mass_4","TL_1","TL_2","TL_3","TL_4","SL_1","SL_2","SL_3","SL_4","BS_pre","BS_post_corps","BS_muscle","BS_post_tot","P04_alive","P04_dead","P013_alive","P013_dead","P06","gonade","treatment","P04_tot","parasite_load","adj_mass3","adj_mass4","dens_tot","dens_bs","dens_ces","fulton1","fulton2","fulton3","fulton4","log_boldness","log_activity","id","z_log_activity","z_log_boldness","z_exploration","tank1","tank2","(id = ID_fish)"
"BG/G",20,"4",1,117,1,"01/07/2022","JAP",11,0.2277359,955.86,4,"22/06/2022",4497,"MG",2.1,2.5,2,1.9,52.4,53.6,52.6,53.4,43.1,43.4,42.6,41.1,23,49,10,59,4,4,0,0,0,0,"C",8,63,1.976,1.876,61.1321961620469,31.4498933901919,2.13219616204691,0.0262293473397715,0.0305823475949504,0.025559840709417,0.0270213702597354,0.154439091563892,0.478784773056979,"BG/G",0.478784773056979,0.154439091563892,-0.750628597655598,"1","4","BG/G"
"GB/G",22,"4",1,183,3,"28/06/2022","MG",966,0.1231481,415.31,4,"22/06/2022",4499,"MG",1.7,2.1,1.8,1.6,46.5,45.8,50,50.7,43.3,40.1,41.9,43.3,6,9,4,13,6,4,0,0,0,1,"C",10,19,1.77,1.57,16.8216560509554,8.28025477707006,3.82165605095541,0.0209404124918824,0.0325676316109559,0.0240619709127748,0.0193390868307384,0.624339212065615,-1.73206244934068,"GB/G",-1.73206244934068,0.624339212065615,-2.26032412423597,"3","4","GB/G"
"GG/G",24,"4",1,225,1,"29/06/2022","JAP",4632,0.3528904,1370.08,3,"23/06/2022",953,"MG",2.1,2.5,2.6,2.6,54.2,54.4,55.5,57.7,43,44.1,44.6,45.9,0,2,3,5,23,6,0,0,0,0,"C",29,28,2.513,2.513,14.1524074810983,1.98965380023876,9.15240748109829,0.0264127686870338,0.0291490389311183,0.0283261736008268,0.0259868974125292,0.841386850732102,1.43361536865632,"GG/G",1.43361536865632,0.841386850732101,1.05594146865619,"1","3","GG/G"
"GG/R",21,"4",1,310,3,"30/06/2022","MG",977,0.2228353,871.19,2,"24/06/2022",1,"JAP",2.1,2.1,2.2,2.2,50,49.9,51.9,54.3,41.9,43.1,42.4,43.4,5,8,1,9,14,3,0,0,0,0,"C",17,23,2.149,2.149,15.514657980456,4.18799441600745,6.51465798045603,0.0285481010829532,0.0262293473397715,0.028192841238069,0.0262885859926193,1.17804159909923,0.232788507841993,"GG/R",0.232788507841993,1.17804159909923,-0.821367382653082,"3","2","GG/R"
"GR/R",19,"4",1,427,3,"30/06/2022","MG",979,0.2008197,1008.28,4,"24/06/2022",4509,"MG",1.5,1.9,1.8,1.7,47.2,48.6,50,50.6,38.5,42,39.1,39.9,1,4,1,5,15,0,0,0,0,0,"C",15,20,1.755,1.655,14.0634441087613,3.02114803625378,9.06344410876133,0.0262850659207549,0.0256451787064032,0.0293593778729427,0.026054294094795,1.51442302966868,0.620385641617383,"GR/R",0.620385641617383,1.51442302966868,-1.13915638705879,"3","4","GR/R"
"R/RR",23,"4",1,322,3,"29/06/2022","MG",973,0.3218292,1042.74,2,"23/06/2022",571,"JAP",1.6,1.7,1.7,1.6,47.8,47.5,48.6,48.6,40.8,38.2,39.1,39.4,2,6,8,14,36,11,0,0,0,0,"C",47,50,1.559,1.459,38.6744345442084,9.59561343385881,24.6744345442084,0.0235580583636761,0.0304971202825081,0.0260804957857081,0.0238542972331108,1.21793868333373,0.709515751991789,"R/RR",0.709515751991789,1.21793868333373,0.607581768096289,"3","2","R/RR"
"BG/G",20,"4",2,139,1,"06/07/2022","JAP",4673,0.3111111,756.46,3,"02/07/2022",990,"MG",2.1,2.5,2,1.9,52.4,53.6,52.6,53.4,43.1,43.4,42.6,41.1,23,49,10,59,4,4,0,0,0,0,"C",8,63,1.976,1.876,61.1321961620469,31.4498933901919,2.13219616204691,0.0262293473397715,0.0305823475949504,0.025559840709417,0.0270213702597354,0.335439714201008,-0.14173147582694,"BG/G",-0.14173147582694,0.335439714201008,0.452869004050758,"1","3","BG/G"
"GB/G",22,"4",2,713,2,"04/07/2022","JAP",611,0.1675774,501.71,3,"01/07/2022",987,"MG",1.7,2.1,1.8,1.6,46.5,45.8,50,50.7,43.3,40.1,41.9,43.3,6,9,4,13,6,4,0,0,0,1,"C",10,19,1.77,1.57,16.8216560509554,8.28025477707006,3.82165605095541,0.0209404124918824,0.0325676316109559,0.0240619709127748,0.0193390868307384,2.05301009190258,-1.23080228774825,"GB/G",-1.23080228774825,2.05301009190258,-1.61899965370406,"2","3","GB/G"
"GG/G",24,"4",2,57,3,"05/07/2022","MG",1013,0.2968614,638.67,3,"02/07/2022",991,"MG",2.1,2.5,2.6,2.6,54.2,54.4,55.5,57.7,43,44.1,44.6,45.9,0,2,3,5,23,6,0,0,0,0,"C",29,28,2.513,2.513,14.1524074810983,1.98965380023876,9.15240748109829,0.0264127686870338,0.0291490389311183,0.0283261736008268,0.0259868974125292,-0.60099707635349,-0.590649530999824,"GG/G",-0.590649530999824,-0.60099707635349,0.247178585616559,"3","3","GG/G"
"GG/R",21,"4",2,479,3,"05/07/2022","MG",1012,0.2527778,594.2,3,"03/07/2022",1003,"MG",2.1,2.1,2.2,2.2,50,49.9,51.9,54.3,41.9,43.1,42.4,43.4,5,8,1,9,14,3,0,0,0,0,"C",17,23,2.149,2.149,15.514657980456,4.18799441600745,6.51465798045603,0.0285481010829532,0.0262293473397715,0.028192841238069,0.0262885859926193,1.63514255079214,-0.782064763819387,"GG/R",-0.782064763819387,1.63514255079214,-0.389155802481849,"3","3","GG/R"
