"ID_fish","before_bold","trial","cage","treatment","log_boldness","dens_tot","dens_ces","dens_bs2","name","after_bold"
"GO/O",-1.83894811682188,2,"10","C",-1.83894811682188,0,0,0,"z_log_boldness",NA
"GO/O",NA,3,"10","E",0.202363210349756,25.4009363482419,12.4514393863931,12.9494969618488,"z_log_boldness",0.202363210349757
"GO/O",NA,4,"10","E",0.184548759523791,25.4009363482419,12.4514393863931,12.9494969618488,"z_log_boldness",0.184548759523792
"GR/B",-0.347727671859176,1,"C2","C",-0.347727671859176,0,0,0,"z_log_boldness",NA
"GR/B",0.0704845488234607,2,"C2","C",0.0704845488234602,0,0,0,"z_log_boldness",NA
"GR/B",NA,3,"C2","E",-1.77399072802503,1.05429625724829,0,1.05429625724829,"z_log_boldness",-1.77399072802503
"GR/B",NA,4,"C2","E",-1.40872990650966,1.05429625724829,0,1.05429625724829,"z_log_boldness",-1.40872990650966
"GR/G",-0.0468055947542596,1,"3","C",-0.04680559475426,0,0,0,"z_log_boldness",NA
"GR/G",-0.98615112715122,2,"3","C",-0.986151127151221,0,0,0,"z_log_boldness",NA
"GR/G",NA,3,"3","E",0.667662201688551,7.47463961558996,4.27122263747998,3.20341697810998,"z_log_boldness",0.667662201688551
"GR/G",NA,4,"3","E",-1.17542385451686,7.47463961558996,4.27122263747998,3.20341697810998,"z_log_boldness",-1.17542385451686
"GR/R",1.53151963448899,1,"4","C",1.53151963448899,0,0,0,"z_log_boldness",NA
"GR/R",0.270625988639923,2,"4","C",0.270625988639923,0,0,0,"z_log_boldness",NA
"GR/R",NA,3,"4","E",0.598618668819435,11.4803625377643,9.06344410876133,2.41691842900302,"z_log_boldness",0.598618668819436
"GR/R",NA,4,"4","E",-1.07634488632528,11.4803625377643,9.06344410876133,2.41691842900302,"z_log_boldness",-1.07634488632527
"O/BO",0.00820756160042133,1,"C1","C",0.00820756160042092,0,0,0,"z_log_boldness",NA
"O/BO",-1.17542385451686,2,"C1","C",-1.17542385451686,0,0,0,"z_log_boldness",NA
"O/BO",NA,3,"C1","E",0.854867396913783,3.44827586206897,0,3.44827586206897,"z_log_boldness",0.854867396913783
"O/BO",NA,4,"C1","E",-1.50029210939706,3.44827586206897,0,3.44827586206897,"z_log_boldness",-1.50029210939706
"O/GO",0.716504192595597,1,"9","C",0.716504192595597,0,0,0,"z_log_boldness",NA
"O/GO",0.700485442863471,2,"9","C",0.70048544286347,0,0,0,"z_log_boldness",NA
"O/GO",NA,3,"9","E",0.365053645978396,0.563063063063063,0,0.563063063063063,"z_log_boldness",0.365053645978397
"O/GO",NA,4,"9","E",-0.647495119726398,0.563063063063063,0,0.563063063063063,"z_log_boldness",-0.647495119726397
"O/OB",0.737473496808358,1,"9","C",0.737473496808358,0,0,0,"z_log_boldness",NA
"O/OB",-0.549700759489818,2,"9","C",-0.549700759489819,0,0,0,"z_log_boldness",NA
"O/OB",NA,3,"9","E",-1.24734660118957,6.17283950617284,2.24466891133558,3.92817059483726,"z_log_boldness",-1.24734660118957
"O/OB",NA,4,"9","E",-1.21074292387571,6.17283950617284,2.24466891133558,3.92817059483726,"z_log_boldness",-1.21074292387571
"O/OO",0.0188583508958454,1,"10","C",0.018858350895845,0,0,0,"z_log_boldness",NA
"O/OO",-0.957797415668221,2,"10","C",-0.957797415668222,0,0,0,"z_log_boldness",NA
"O/OO",NA,3,"10","E",1.10678639794803,6.5123010130246,2.89435600578871,3.61794500723589,"z_log_boldness",1.10678639794804
"O/OO",NA,4,"10","E",0.018858350895845,6.5123010130246,2.89435600578871,3.61794500723589,"z_log_boldness",0.0188583508958454
"OB/B",1.10318535583793,1,"10","C",1.10318535583793,0,0,0,"z_log_boldness",NA
"OB/B",-0.957797415668221,2,"10","C",-0.957797415668222,0,0,0,"z_log_boldness",NA
"OB/B",NA,3,"10","E",0.705853403300173,6.87658342381469,3.98117987694535,2.89540354686934,"z_log_boldness",0.705853403300173
"OB/B",NA,4,"10","E",0.568391466287446,6.87658342381469,3.98117987694535,2.89540354686934,"z_log_boldness",0.568391466287446
"OB/O",1.23803422887009,1,"8","C",1.23803422887009,0,0,0,"z_log_boldness",NA
"OB/O",1.11037460209111,2,"8","C",1.11037460209111,0,0,0,"z_log_boldness",NA
"OB/O",NA,3,"8","E",-0.0134382231101598,1.94539913105505,1.2969327540367,0.648466377018352,"z_log_boldness",-0.0134382231101594
"OB/O",NA,4,"8","E",-1.21074292387571,1.94539913105505,1.2969327540367,0.648466377018352,"z_log_boldness",-1.21074292387571
"OG/B",0.3110527158533,1,"7","C",0.3110527158533,0,0,0,"z_log_boldness",NA
"OG/B",1.408838728059,2,"7","C",1.408838728059,0,0,0,"z_log_boldness",NA
"OG/B",NA,3,"7","E",-1.07634488632528,2.64177527298345,2.64177527298345,0,"z_log_boldness",-1.07634488632527
"OG/B",NA,4,"7","E",1.06269948767815,2.64177527298345,2.64177527298345,0,"z_log_boldness",1.06269948767815
"OG/G",1.97284700840325,1,"7","C",1.97284700840325,0,0,0,"z_log_boldness",NA
"OG/G",2.08902666369408,2,"7","C",2.08902666369408,0,0,0,"z_log_boldness",NA
"OG/G",NA,3,"7","E",-0.851753089600784,2.23538616295965,1.67653962221974,0.558846540739913,"z_log_boldness",-0.851753089600783
"OG/G",NA,4,"7","E",-0.410653798218626,2.23538616295965,1.67653962221974,0.558846540739913,"z_log_boldness",-0.410653798218625
"OG/O",-0.755824328037578,1,"8","C",-0.755824328037579,0,0,0,"z_log_boldness",NA
"OG/O",-0.302987408631508,2,"8","C",-0.302987408631509,0,0,0,"z_log_boldness",NA
"OG/O",NA,3,"8","E",-0.778963052744192,10.9697235629662,0.438788942518649,10.5309346204476,"z_log_boldness",-0.778963052744191
"OG/O",NA,4,"8","E",-0.778963052744192,10.9697235629662,0.438788942518649,10.5309346204476,"z_log_boldness",-0.778963052744191
"OO/B",-0.117054344872901,1,"7","C",-0.117054344872901,0,0,0,"z_log_boldness",NA
"OO/B",-1.21074292387571,2,"7","C",-1.21074292387571,0,0,0,"z_log_boldness",NA
"OO/B",NA,3,"7","E",-1.77399072802503,6.35391295139257,1.58847823784814,4.76543471354443,"z_log_boldness",-1.77399072802503
"OO/B",NA,4,"7","E",0.485268872105883,6.35391295139257,1.58847823784814,4.76543471354443,"z_log_boldness",0.485268872105884
"OO/G",0.295076345547952,1,"8","C",0.295076345547952,0,0,0,"z_log_boldness",NA
"OO/G",-0.363094232878304,2,"8","C",-0.363094232878305,0,0,0,"z_log_boldness",NA
"OO/G",NA,3,"8","E",-1.07634488632528,2.27894257064722,0,2.27894257064722,"z_log_boldness",-1.07634488632527
