ID_fish;num_fish;cage;trial;boldness;bassin_bold;date_bold;exp_bold;video_bold;exploration;activity;bassin_exp;date_act;video_act;exp_act;mass_1;mass_2;mass_3;mass_4;TL_1;TL_2;TL_3;TL_4;SL_1;SL_2;SL_3;SL_4;BS_pre;BS_post_corps;BS_muscle;BS_post_tot;P04_alive;P04_dead;P013_alive;P013_dead;P06;gonade;treatment
G/BG;30;5;1;174;1;30/06/2022;JAP;4647;0.2747748;1140.55;1;24/06/2022;4593;JAP;2.0;1.9;2.2;2.3;51.6;50.4;54.6;54.1;41.2;42.2;42.7;44.0;0;0;0;0;0;0;0;0;0;0;C
G/BR;27;5;1;180;1;30/06/2022;JAP;4648;0.2828829;725.64;3;24/06/2022;958;MG;1.9;1.7;1.9;1.9;50.5;49.4;51.3;51.3;41.4;41.4;41.7;41.5;5;0;0;0;0;0;0;0;0;0;C
G/RB;26;5;1;31;3;28/06/2022;MG;964;0.2313243;1545.76;2;22/06/2022;563;JAP;1.3;1.2;1.6;2.6;44.7;44.5;47.4;52.1;38.1;36.3;37.2;44.8;2;0;0;0;0;0;0;0;0;0;C
B/BB;25;5;2;127;4;05/07/2022;MG;4560;0.2234685 ;996.02;1;02/07/2022;11;JAP;2.0;1.9;1.9;1.9;50.9;48.8;50.1;51.7;39.1;41.3;39.6;40.9;4;0;0;0;0;0;0;0;0;0;C
B/BR;28;5;2;117;2;04/07/2022;JAP;612;0.2364865;779.23;4;01/07/2022;4536;MG;1.5;1.8;1.6;1.5;45.4;44.4;46.5;48.1;38.9;39.9;40.2;39.2;4;0;0;0;0;0;0;0;0;1;C
B/RG;29;5;2;69;2;05/07/2022;JAP;617;0.3229951;762.34;2;02/07/2022;595;JAP;1.9;2.1;2.5;2.5;50.0;50.4;55.1;55.2;39.6;41.5;44.3;44.3;0;0;0;0;0;0;0;0;0;0;C
G/BG;30;5;2;33;2;06/07/2022;JAP;635;0.3338075;511.82;2;03/07/2022;610;JAP;2.0;1.9;2.2;2.3;51.6;50.4;54.6;54.1;41.2;42.2;42.7;44.0;0;0;0;0;0;0;0;0;0;0;C
G/BR;27;5;2;197;3;06/07/2022;MG;1017;0.2437174;447.82;3;03/07/2022;1004;MG;1.9;1.7;1.9;1.9;50.5;49.4;51.3;51.3;41.4;41.4;41.7;41.5;5;0;0;0;0;0;0;0;0;0;C
G/RB;26;5;2;55;2;04/07/2022;JAP;613;0.262309;1120.79;3;02/07/2022;992;MG;1.3;1.2;1.6;2.6;44.7;44.5;47.4;52.1;38.1;36.3;37.2;44.8;2;0;0;0;0;0;0;0;0;0;C
B/BG;33;6;1;289;2;30/06/2022;JAP;12;0.2822581;1155.3;3;24/06/2022;960;MG;2.6;2.7;3.0;3.0;56.4;54.1;57.9;57.6;47.2;49.1;46.0;47.4;4;0;0;0;0;0;0;0;0;0;C
