ID_fish;num_fish;cage;trial;boldness;bassin_bold;date_bold;exp_bold;video_bold;exploration;activity;bassin_exp;date_act;video_act;exp_act;mass_1;mass_2;mass_3;mass_4;TL_1;TL_2;TL_3;TL_4;SL_1;SL_2;SL_3;SL_4;BS_pre;BS_post_corps;BS_muscle;BS_post_tot;P04_alive;P04_dead;P013_alive;P013_dead;P06;gonade;treatment
G/GB;38;7;4;32;4;24/08/2022;VM;4661;0.3693918;506.43;1;19/08/2022;6;MG;2.1;2.3;2.5;2.6;53.5;53.1;56.1;55.6;44.9;43.4;44.6;45.2;2;7;0;7;1;2;0;0;4;0;E
OG/B;42;7;4;268;2;25/08/2022;MG;836;0.2632058;774.81;4;22/08/2022;4649;VM;2.1;2.7;2.2;2.3;50.3;50.4;51.7;53.9;41.1;43.1;41.8;44.6;14;6;5;11;0;8;0;0;6;1;E
OG/G;40;7;4;62;4;25/08/2022;VM;6.1;0.2800926 ;738.22;3;22/08/2022;1135;VM;1.8;1.7;1.8;1.8;51.6;48.8;50.5;51.2;40.5;41.0;40.1;40.2;4;2;3;5;1;2;0;0;2;1;E
OO/B;39;7;4;151;1;23/08/2022;MG;4772;0.3665756;849.5;4;18/08/2022;4637;MG;1.8;2.0;1.8;1.9;49.0;50.5;51.5;49.0;40.1;42.1;39.1;41.8;4;9;4;13;0;3;0;0;3;1;E
R/GB;41;7;4;75;3;24/08/2022;VM;824;0.2850539;521.93;3;19/08/2022;779;MG;1.8;1.8;2.0;2.2;51.7;50.0;51.8;53.2;42.8;41.1;41.6;42.6;0;9;6;15;2;4;0;0;0;0;E
OB/O;44;8;3;92;4;15/08/2022;MG;4621;0.2497843;1119.77;2;12/08/2022;696;JAP;2.3;2.8;2.7;3.1;56.1;56.0;55.8;56.2;47.2;46.1;44.9;46.8;4;4;2;6;3;2;0;0;1;1;E
OG/O;46;8;3;43;1;17/08/2022;JAP;768;0.200579;618.96;1;14/08/2022;6;SGG;2.3;2.2;2.3;2.3;53.2;53.3;53.9;53.9;45.8;44.1;43.2;45.1;6;16;14;30;1;6;0;0;0;1;E
OO/G;43;8;3;32;3;15/08/2022;MG;1106;0.3628035;981.12;3;12/08/2022;4752;MG;2.2;2.4;2.3;2.2;50.5;52.6;54.1;53.3;43.4;43.3;42.8;44.5;4;5;4;9;0;2;0;0;0;1;E
OO/O;45;8;3;53;4;17/08/2022;MG;4631;0.2689516;649.16;1;14/08/2022;4;SGG;3.2;3.1;3.8;4.1;59.4;61.3;63.1;66.1;50.5;48.8;51.3;51.5;2;5;1;6;2;6;0;0;1;0;E
R/GG;47;8;3;30;2;16/08/2022;JAP;724;0.3784153;1095.31;3;13/08/2022;1093;MG;2.9;2.7;2.9;2.9;56.8;58.6;58.3;59.0;45.9;47.8;46.7;46.5;0;6;0;6;4;2;0;0;4;1;E
R/GR;48;8;3;231;1;16/08/2022;JAP;3;0.3175151 ;660.1;4;13/08/2022;4608;MG;2.3;1.8;2.2;2.7;51.5;53.2;54.1;54.2;44.1;43.2;43.3;44.1;2;2;2;4;3;0;0;0;4;0;E
OB/O;44;8;4;28;4;23/08/2022;VM;4655;0.2758945 ;1086.31;3;18/08/2022;773;MG;2.3;2.8;2.7;3.1;56.1;56.0;55.8;56.2;47.2;46.1;44.9;46.8;4;4;2;6;3;2;0;0;1;1;E
